body,utc,tt_jd,tdb_minus_tt_s,ra_deg,dec_deg,dist_km
jupiter,2027-05-24T12:00:00,2461550.0008007409,0.001046062,141.845836753,16.003915738,826285221.707634
saturn,2027-05-24T12:00:00,2461550.0008007409,0.001046062,22.028478931,6.767157457,1513670029.027305
sun,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,150.944200385,11.888957293,151314784.021064
moon,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,23.333953045,15.233658789,391192.369563
venus,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,154.209418942,12.167543205,258289183.990337
mars,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,201.024159703,-8.994832213,283901494.650545
jupiter,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,157.551310343,10.381355003,957526302.088535
saturn,2027-08-22T12:00:00,2461640.0008007409,-0.001206994,26.345486657,8.056410454,1312040841.938599
sun,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,235.267022373,-19.607718188,147825237.607857
moon,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,142.488261250,13.293537609,369983.493242
venus,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,262.767496422,-24.418642133,220694794.773171
mars,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,265.208885669,-24.340311198,332231164.371481
jupiter,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,174.031705294,3.769797727,862704646.888332
saturn,2027-11-20T12:00:00,2461730.0008007409,-0.001166761,21.002428459,5.896252666,1270760754.264912
sun,2028-02-18T12:00:00,2461820.0008007409,0.001166761,331.093634914,-11.834652083,147840767.287457
moon,2028-02-18T12:00:00,2461820.0008007409,0.001166761,250.650497612,-26.249092516,391733.278190
venus,2028-02-18T12:00:00,2461820.0008007409,0.001166761,11.331842452,5.195035100,142631245.520961
mars,2028-02-18T12:00:00,2461820.0008007409,0.001166761,337.954597960,-10.327952102,352677355.155698
jupiter,2028-02-18T12:00:00,2461820.0008007409,0.001166761,176.001412956,3.332619010,677018590.110564
saturn,2028-02-18T12:00:00,2461820.0008007409,0.001166761,22.510793328,6.905099174,1470006537.121778
sun,2028-05-18T12:00:00,2461910.0008007409,0.001166761,55.404870832,19.637903700,151337825.266386
moon,2028-05-18T12:00:00,2461910.0008007409,0.001166761,349.183841816,-0.083508655,403505.559484
venus,2028-05-18T12:00:00,2461910.0008007409,0.001166761,76.763927652,26.496788924,47443607.205430
mars,2028-05-18T12:00:00,2461910.0008007409,0.001166761,42.516863722,16.059386110,360762016.149833
jupiter,2028-05-18T12:00:00,2461910.0008007409,0.001166761,168.736996729,6.333424347,751009564.343250
saturn,2028-05-18T12:00:00,2461910.0008007409,0.001166761,32.566352635,10.755841439,1522827720.723081
sun,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,146.063183115,13.604377565,151472239.395886
moon,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,90.237028642,25.419581912,375586.090012
venus,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,98.674059267,20.227653444,112692046.299626
mars,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,108.866054277,23.046798870,336585294.508776
jupiter,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,178.676446025,1.803373068,935825431.912250
saturn,2028-08-16T12:00:00,2462000.0008007409,-0.001126528,39.250655907,12.693599667,1340448776.094918
sun,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,229.834028859,-18.327505677,147994060.519923
moon,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,200.476095639,-14.044375543,363642.017858
venus,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,200.554191493,-6.749108669,203529500.319131
mars,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,163.663759445,8.863935095,251426038.660300
jupiter,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,196.026674148,-5.590267418,932022633.942528
saturn,2028-11-14T12:00:00,2462090.0008007409,-0.001287460,34.832330516,11.063769921,1235922608.135590
sun,2029-02-12T12:00:00,2462180.0008007409,0.001046062,325.975380164,-13.633993907,147694217.226322
moon,2029-02-12T12:00:00,2462180.0008007409,0.001046062,314.747875171,-14.424630519,396761.272460
venus,2029-02-12T12:00:00,2462180.0008007409,0.001046062,316.723174989,-17.620765621,251570096.132495
mars,2029-02-12T12:00:00,2462180.0008007409,0.001046062,193.667791178,-2.337110167,126583208.965511
jupiter,2029-02-12T12:00:00,2462180.0008007409,0.001046062,205.579591710,-9.072049625,738831459.823246
saturn,2029-02-12T12:00:00,2462180.0008007409,0.001046062,33.809503740,11.119586753,1414617706.714108
sun,2029-05-13T12:00:00,2462270.0008007409,0.001247227,50.201082385,18.419505451,151172538.280228
moon,2029-05-13T12:00:00,2462270.0008007409,0.001247227,48.419417400,21.611451398,402197.254922
venus,2029-05-13T12:00:00,2462270.0008007409,0.001247227,63.756846777,21.445470528,249365188.487618
mars,2029-05-13T12:00:00,2462270.0008007409,0.001247227,175.842610781,3.301103483,122578785.424337
jupiter,2029-05-13T12:00:00,2462270.0008007409,0.001247227,197.667296001,-5.871023526,685629734.017371
saturn,2029-05-13T12:00:00,2462270.0008007409,0.001247227,43.395531495,14.395957659,1521891478.222106
sun,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,141.125238132,15.219438006,151614364.449905
moon,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,157.523187749,4.444077995,368439.851864
venus,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,175.403450883,2.965935061,184583792.361064
mars,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,209.427075912,-12.825105403,214199027.277366
jupiter,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,200.536771770,-7.421704654,871441436.570415
saturn,2029-08-11T12:00:00,2462360.0008007409,-0.001005828,52.217538996,16.581042114,1374916817.661568
sun,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,224.493283548,-16.897941407,148173987.296581
moon,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,273.248140475,-22.736370894,368172.623335
venus,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,273.546966282,-27.293670736,85019715.690523
mars,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,274.064396339,-24.716962011,280843672.754469
jupiter,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,217.431128191,-13.731167615,959014636.539250
saturn,2029-11-09T12:00:00,2462450.0008007409,-0.001367927,49.677012336,15.726556616,1218767735.356804
sun,2030-02-07T12:00:00,2462540.0008007409,0.000925362,320.768868627,-15.331042290,147550838.114521
moon,2030-02-07T12:00:00,2462540.0008007409,0.000925362,12.552963413,10.513477594,399595.999571
venus,2030-02-07T12:00:00,2462540.0008007409,0.000925362,281.143514202,-16.871254308,58753420.031365
mars,2030-02-07T12:00:00,2462540.0008007409,0.000925362,345.380358132,-7.178025113,331700101.655463
jupiter,2030-02-07T12:00:00,2462540.0008007409,0.000925362,233.377799021,-18.086376137,815018979.869442
saturn,2030-02-07T12:00:00,2462540.0008007409,0.000925362,46.173625532,15.129685193,1356592939.079107
sun,2030-05-08T12:00:00,2462630.0008007409,0.001367927,45.069286414,17.059860916,150984947.853574
moon,2030-05-08T12:00:00,2462630.0008007409,0.001367927,113.196467711,18.611469973,398515.600692
venus,2030-05-08T12:00:00,2462630.0008007409,0.001367927,6.818206011,1.164113830,160240803.310737
mars,2030-05-08T12:00:00,2462630.0008007409,0.001367927,49.331773781,18.305245233,372080293.621520
jupiter,2030-05-08T12:00:00,2462630.0008007409,0.001367927,230.887353996,-17.352495138,656929619.074746
saturn,2030-05-08T12:00:00,2462630.0008007409,0.001367927,54.678324753,17.567892055,1510154972.056239
sun,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,136.129285028,16.720919560,151738404.330438
moon,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,217.757814179,-17.793163583,371517.164873
venus,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,115.720960505,21.568086405,237271846.797966
mars,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,115.422650642,22.312250814,375015276.700343
jupiter,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,225.874056977,-16.356155252,778077617.596252
saturn,2030-08-06T12:00:00,2462720.0008007409,-0.000885129,65.229768033,19.552276404,1411291989.150907
sun,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,219.248194997,-15.335763259,148365647.983401
moon,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,336.398232467,-4.217332027,384705.260774
venus,2030-11-04T12:00:00,2462810.0008007409,-0.001488626,223.239105909,-15.885067697,255882664.897235
